"","hh_size","n_children","region_type","hh_autos","n_emp","dist_to_transit","hh_income","trip_length_km","weight"
"5319",4,2,"urban",2,2,0.3,5483,6.18,0.677868899
"5320",2,0,"metropolitan",2,2,0.3,4192,50.35,1.592841023
"5321",2,0,"metropolitan",1,1,0.3,2950,23.47,0.568125941
"5322",7,5,"metropolitan",1,1,0.15,2153,5.7,0.58371348
"5323",2,0,"metropolitan",1,2,0.7,2669,16.63,0.765948799
"5324",2,0,"metropolitan",1,2,0.7,2669,0.1,0.73857372
"5325",3,0,"rural",2,1,1.5,1611,17.1,0.404556276
"5326",3,0,"rural",2,1,1.5,1611,17.1,0.404556276
"5327",4,1,"metropolitan",3,2,0.15,3256,5.99,1.074363161
"5328",4,1,"metropolitan",3,2,0.15,3256,28.5,0.893628141
"5329",3,1,"metropolitan",1,2,1.5,2116,19,0.581350787
"5330",3,1,"metropolitan",1,2,1.5,2116,1.96,0.950940331
"5331",4,2,"urban",1,2,0.7,3411,33.25,0.709069805
"5332",2,0,"metropolitan",2,2,0.7,4074,41.8,0.996737209
"5333",2,0,"metropolitan",2,2,0.7,4074,36.1,1.11767049
"5334",3,0,"rural",1,3,0.3,2503,0.49,1.534849483
"5335",3,0,"rural",1,3,0.3,2503,54.15,1.448752135
"5336",3,0,"rural",1,3,0.3,2503,18.05,2.403189402
"5337",2,0,"urban",2,1,0.7,2769,5.23,0.792161026
"5338",1,0,"metropolitan",0,1,0.15,892,0.29,1.076628044
"5339",2,0,"metropolitan",2,1,0.3,3908,14.44,1.059644236
"5340",4,0,"urban",2,2,0.3,3221,25.65,0.270132553
"5341",4,0,"urban",2,2,0.3,3221,2.85,0.260477991
"5342",1,0,"metropolitan",1,1,0.7,1287,5.7,1.356515311
"5343",1,0,"urban",1,1,0.3,3126,36.1,3.319527292
"5344",2,1,"rural",1,1,0.7,1683,0.98,0.609634661
"5345",2,0,"urban",2,1,0.05,5483,21.85,0.942150788
"5346",2,0,"metropolitan",0,1,0.7,1695,1.96,1.518442423
"5347",4,2,"metropolitan",2,2,0.3,3720,7.6,1.110670327
"5348",3,0,"urban",2,1,0.7,1584,6.65,0.424915597
"5349",3,0,"urban",2,1,0.7,1584,90.25,0.857849106
"5350",4,0,"metropolitan",2,3,0.15,4892,0.98,0.517821196
"5351",4,0,"metropolitan",2,3,0.15,4892,19,0.509321853
"5352",3,0,"metropolitan",2,1,0.3,5583,76,0.653927353
"5353",1,0,"metropolitan",0,1,0.3,1458,9.03,2.321932312
"5354",2,0,"urban",1,1,0.7,2073,0.95,0.545743785
"5355",2,0,"urban",1,1,0.7,2073,0.95,0.545743785
"5356",5,1,"urban",1,1,0.05,1811,7.6,0.502466106
"5357",4,2,"rural",1,2,0.05,2591,43.7,0.392344713
"5358",4,0,"urban",3,4,0.15,3181,0.29,0.296336231
"5359",4,0,"urban",3,4,0.15,3181,11.4,0.315354387
"5360",4,0,"urban",3,4,0.15,3181,17.1,0.494574031
"5361",4,2,"metropolitan",2,2,0.7,4746,1.96,0.747431802
"5362",4,2,"metropolitan",2,2,0.7,4746,1.96,0.747431802
"5363",4,2,"metropolitan",2,2,0.7,4746,3.8,0.582131729
"5364",2,0,"metropolitan",2,1,0.7,2353,1.14,1.203177029
"5365",2,0,"metropolitan",2,1,0.7,2353,1.14,1.203177029
"5366",6,4,"urban",2,2,0.15,3627,10.45,0.397781689
"5367",4,2,"urban",2,2,0.3,1814,18.05,0.503124596
"5368",4,2,"urban",2,2,0.3,1814,4.75,0.637121577
"5369",3,1,"rural",1,2,0.3,1524,11.4,1.632619304
"5370",4,2,"metropolitan",1,1,0.15,3704,19,0.952182261
